Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b0008e05,7,"Friday, March  9, 2012 01:38:36 UTC",-3.4155,100.2990,4.7,37.90,36,"Kepulauan Mentawai region, Indonesia"
mb,12580632,2,"Friday, March  9, 2012 01:08:33 UTC",42.9050,-111.3096,3.0,0.30,29,"southern Idaho"
nc,71744815,4,"Friday, March  9, 2012 00:08:07 UTC",40.3810,-125.0382,2.5,7.30,28,"offshore Northern California"
ci,11077770,3,"Thursday, March  8, 2012 23:44:16 UTC",34.0432,-116.4345,2.6,10.70,116,"Southern California"
ak,10428379,2,"Thursday, March  8, 2012 23:28:07 UTC",51.6783,-179.0658,3.2,87.10, 8,"Andreanof Islands, Aleutian Islands, Alaska"
us,b0008dxq,6,"Thursday, March  8, 2012 22:50:08 UTC",39.3796,81.3561,5.8,35.50,348,"southern Xinjiang, China"
ak,10428007,2,"Thursday, March  8, 2012 20:06:51 UTC",55.9983,-158.2206,3.1,64.70,15,"Alaska Peninsula"
us,b0008drx,7,"Thursday, March  8, 2012 20:03:20 UTC",13.5233,120.4257,5.3,78.50,157,"Mindoro, Philippines"
ak,10427938,2,"Thursday, March  8, 2012 18:41:09 UTC",58.8988,-154.2313,2.5,114.30,34,"Alaska Peninsula"
us,b0008dna,8,"Thursday, March  8, 2012 18:21:38 UTC",32.9130,46.9833,5.1,10.00,152,"Iran-Iraq border region"
pr,12068003,0,"Thursday, March  8, 2012 17:25:01 UTC",18.6404,-63.9852,2.9,60.90, 6,"Virgin Islands region"
ci,15120033,2,"Thursday, March  8, 2012 17:09:00 UTC",32.4305,-115.5237,2.6,10.00,26,"Baja California, Mexico"
us,b0008dlk,6,"Thursday, March  8, 2012 16:41:37 UTC",38.9400,142.1677,4.7,46.10,56,"near the east coast of Honshu, Japan"
us,b0008dkk,8,"Thursday, March  8, 2012 15:30:26 UTC",13.6156,120.5527,5.1,33.40,105,"Mindoro, Philippines"
pr,12068002,0,"Thursday, March  8, 2012 13:22:58 UTC",18.2145,-68.3984,3.1,105.60,10,"Mona Passage, Dominican Republic"
us,b0008deg,5,"Thursday, March  8, 2012 11:53:08 UTC",39.6850,143.3198,4.7,38.70,34,"off the east coast of Honshu, Japan"
ak,10427770,2,"Thursday, March  8, 2012 11:52:08 UTC",60.3615,-152.1931,2.5,84.90,30,"Southern Alaska"
ak,10427751,3,"Thursday, March  8, 2012 10:57:43 UTC",61.0061,-150.9158,4.1,9.60,37,"Southern Alaska"
ak,10431044,2,"Thursday, March  8, 2012 10:29:38 UTC",53.5819,-163.2043,2.5,80.30, 9,"Unimak Island region, Alaska"
pr,12068001,0,"Thursday, March  8, 2012 10:13:22 UTC",17.8927,-63.9082,3.3,10.30, 7,"Virgin Islands region"
ak,10427738,3,"Thursday, March  8, 2012 09:59:20 UTC",60.9885,-149.0615,2.7,35.20,43,"Kenai Peninsula, Alaska"
ak,10427721,3,"Thursday, March  8, 2012 09:25:16 UTC",58.5296,-155.3884,2.7,140.50,31,"Alaska Peninsula"
us,b0008ddv,4,"Thursday, March  8, 2012 09:20:53 UTC",18.2123,119.3295,4.6,9.90,26,"Philippine Islands region"
ak,10427718,2,"Thursday, March  8, 2012 09:07:04 UTC",52.8839,-168.0917,3.2,45.00,12,"Fox Islands, Aleutian Islands, Alaska"
ak,10427707,2,"Thursday, March  8, 2012 08:23:07 UTC",61.5505,-149.9799,2.5,48.60,27,"Southern Alaska"
pr,12068000,0,"Thursday, March  8, 2012 08:01:37 UTC",18.1114,-63.8134,3.5,83.30,12,"Anguilla region, Leeward Islands"
us,b0008ddc,5,"Thursday, March  8, 2012 07:49:03 UTC",29.1903,139.2673,4.3,431.80,54,"Izu Islands, Japan region"
us,b0008dd0,4,"Thursday, March  8, 2012 07:26:47 UTC",34.5666,24.0243,4.1,32.00,22,"Crete, Greece"
us,b0008dcn,6,"Thursday, March  8, 2012 07:00:31 UTC",34.6220,24.0275,4.5,28.40,43,"Crete, Greece"
nn,00370795,8,"Thursday, March  8, 2012 06:44:06 UTC",39.9181,-115.6614,3.2,13.80, 5,"Nevada"
us,b0008e7u,5,"Thursday, March  8, 2012 05:17:40 UTC",35.6293,-97.0720,2.9,5.00, 0,"Oklahoma"
us,b0008dbr,4,"Thursday, March  8, 2012 03:51:34 UTC",-18.0751,166.8555,5.1,13.10,22,"Vanuatu region"
us,b0008dbp,6,"Thursday, March  8, 2012 03:23:29 UTC",38.5986,141.7315,4.8,55.80,160,"near the east coast of Honshu, Japan"
ak,10427647,3,"Thursday, March  8, 2012 03:16:51 UTC",52.8260,-162.1315,3.1,41.70,15,"south of Alaska"
ak,10427643,2,"Thursday, March  8, 2012 03:11:11 UTC",52.1516,-176.3921,2.5,66.70, 7,"Andreanof Islands, Aleutian Islands, Alaska"
us,b0008dbe,5,"Thursday, March  8, 2012 02:51:32 UTC",18.3301,-72.0600,4.6,4.90,147,"Haiti region"
ak,10427625,3,"Thursday, March  8, 2012 02:40:57 UTC",62.5076,-149.7126,3.4,66.60,56,"Central Alaska"
us,b0008db5,5,"Thursday, March  8, 2012 02:01:45 UTC",28.1204,55.3401,4.4,46.50,33,"southern Iran"
us,b0008dau,8,"Thursday, March  8, 2012 01:02:17 UTC",37.4651,78.3757,4.6,39.60,33,"southern Xinjiang, China"
us,b0008dai,A,"Thursday, March  8, 2012 00:19:05 UTC",24.5351,127.7325,4.4,10.40,34,"southeast of the Ryukyu Islands, Japan"
ak,10427458,2,"Thursday, March  8, 2012 00:12:49 UTC",62.7335,-150.6720,2.5,89.30,37,"Central Alaska"
us,b0008daa,8,"Thursday, March  8, 2012 00:01:03 UTC",-24.1581,-67.0360,4.6,168.40,25,"Salta, Argentina"
